year,serial,month,cpsid,asecflag,asecwth,statefip,hhincome,pernum,cpsidp,cpsidv,asecwt,age,sex,race,marst,vetstat,famsize,nchild,nchlt5,ftype,yrimmig,citizen,nativity,hispan,empstat,occ2010,ind,classwkr,educ,diffany,wkswork1,uhrsworkly,pension,firmsize,ftotval,inctot,incwage,incbus,incss,incretir,incint,incdivid,incrent,ctccrd,actccrd,adjginc,eitcred,fedtaxac,fica,filestat,depstat,margtax,taxinc,spmwt,spmfedtaxac,spmftotval,spmfamunit,eff_rate
2024,99,3,20241300009900,1,695.02,23,110020,3,20241300009903,202413000099031,695.02,55,1,100,4,1,3,1,0,5,0,1,1,0,10,6355,770,21,73,1,52,40,1,1,70020,70020,70000,0,0,,20,0,0,0,0,70020,0,7568,5355,5,0,22,55730,695.02,6510.0,110020,125001,10.808340474150242
2024,100,3,20241300010000,1,869.6,23,60700,1,20241300010001,202413000100011,869.6,27,1,100,1,2,3,1,1,1,0,1,1,0,10,6230,770,21,81,1,52,40,1,1,60700,60200,40000,0,0,,200,20000,0,1170,830,61200,0,-830,3060,1,0,12,33500,869.6,-830.0,60700,126001,-1.3562091503267975
2024,106,3,20240300366100,1,931.7,23,92040,1,20240300366101,202403003661011,931.7,46,2,100,1,1,4,2,1,1,0,1,1,0,10,5240,8370,21,81,2,50,40,1,9,92040,35000,35000,0,0,,0,0,0,730,1270,35000,2896,-4166,2678,1,0,10,7300,931.7,-4166.0,92040,133001,-11.902857142857142
2024,106,3,20240300366100,1,931.7,23,92040,3,20240300366103,202403003661031,1849.12,20,2,100,6,1,4,0,0,1,0,1,1,0,10,4010,8680,21,71,1,52,25,1,9,92040,11440,11440,0,0,,0,0,0,0,0,11440,0,0,875,5,0,0,0,931.7,-4166.0,92040,133001,0.0
2024,108,3,20240100362500,1,1247.79,23,211735,1,20240100362501,202401003625011,1247.79,74,1,100,4,2,2,0,0,2,0,1,1,0,10,7340,7072,21,73,2,52,40,3,7,116869,116869,66000,20000,18779,0,41,50,0,0,0,100639,0,12326,7875,5,0,22,77371,1247.79,21579.0,211735,136001,12.247736960820358
2024,108,3,20240100362500,1,1247.79,23,211735,2,20240100362502,202401003625021,1247.79,76,2,100,4,1,2,0,0,5,0,1,1,0,10,2145,7270,21,73,1,52,40,1,1,94866,94866,54000,0,17736,0,3130,3000,17000,0,0,92206,0,9253,4131,5,0,22,64344,1247.79,21579.0,211735,136001,10.035138711146779
2024,109,3,20221202749500,1,809.46,23,245500,1,20221202749501,202212027495011,809.46,60,2,100,1,1,3,1,0,1,0,1,1,0,10,2200,7870,21,125,1,52,40,1,9,245500,130000,120000,0,0,0,10000,0,0,2000,0,245500,0,36079,9180,1,0,24,213850,809.46,36079.0,245500,137001,14.696130346232177
2024,110,3,20221202730100,1,1445.21,23,111597,1,20221202730101,202212027301011,1445.21,75,2,100,3,1,1,0,0,2,0,1,1,0,36,9999,0,0,123,1,0,999,0,0,111597,111597,0,0,42596,25000,9000,0,-9999,0,0,112208,0,16562,0,5,0,24,96508,1445.21,16562.0,111597,140001,14.76008840724369
2024,118,3,20221202721300,1,2677.57,23,110415,1,20221202721301,202212027213011,2677.57,33,1,100,6,1,2,0,0,2,0,1,2,0,10,6220,770,13,81,1,52,60,1,1,50010,50010,0,50000,0,,10,0,0,0,0,46478,0,2912,7065,5,0,12,26102,2677.57,3409.0,110415,150001,6.265329833469599
2024,118,3,20221202721300,1,2677.57,23,110415,2,20221202721302,202212027213021,2677.57,41,2,100,6,1,2,0,0,5,0,1,1,0,10,3310,7980,21,91,1,45,30,1,2,60405,60405,60000,0,0,,405,0,0,0,0,60405,0,497,4590,5,0,10,4967,2677.57,3409.0,110415,150001,0.8227795712275474
