row,base_rate,twin_rate,gap,from_label,to_label,unit_inctot,filing_status,marst,nchild,spouse_income_share
8736,8.191532206818314,3.7310382004637273,-4.460494006354587,mostly from a paycheck,mostly from investments,50000.0,5,6,0,0.0
8737,1.662568632864994,-0.10335528331504426,-1.7659239161800382,mostly from investments,mostly from a paycheck,52900.0,5,6,0,0.0
8739,17.916030923388924,13.07570276864622,-4.8403281547427035,mostly from a paycheck,mostly from investments,180005.0,5,6,0,0.0
8740,0.07742164622967854,0.5417437388990004,0.4643220926693219,mostly from social security,mostly from a paycheck,18543.0,5,6,0,0.0
8741,1.9492483503651523,1.8970221693545322,-0.052226181010620154,mostly from a paycheck,mostly from investments,52300.0,1,1,0,0.0
8744,8.803665669988622,6.388159662622312,-2.41550600736631,mostly from a paycheck,mostly from investments,131786.0,1,1,1,0.1898001305146222
8745,6.941688686459644,5.736309528977336,-1.2053791574823078,mostly from a paycheck,mostly from investments,110016.0,1,1,2,0.4364456079115765
8746,-6.9707965448400735,0.08915858663265872,7.059955131472732,mostly from a paycheck,mostly from investments,8640.0,5,6,0,0.0
8747,5.504211683096493,2.519347381473299,-2.984864301623194,mostly from a paycheck,mostly from investments,29000.0,5,4,0,0.0
8749,7.312474245051445,7.524224286523856,0.2117500414724116,mostly from a pension,mostly from a paycheck,90413.0,1,1,0,0.1461404886465442
8750,15.624814297089367,10.454501670505861,-5.170312626583506,mostly from a paycheck,mostly from investments,128201.0,5,6,0,0.0
8751,-0.042842762771760017,0.16527956081144246,0.20812232358320248,mostly from social security,mostly from a paycheck,22871.0,5,3,0,0.0
8752,8.882242831380916,6.320884440593746,-2.56135839078717,mostly from a paycheck,mostly from investments,133374.0,1,1,0,0.0502496738494759
8753,0.0022909090909090913,2.940570818012158,2.938279908921249,mostly from social security,mostly from a paycheck,22628.0,5,5,0,0.0
8754,12.36646817615028,6.30430307921041,-6.06216509693987,mostly from a paycheck,mostly from investments,93901.0,5,6,0,0.0
8755,11.935619329146595,7.940386398245084,-3.995232930901511,mostly from a paycheck,mostly from investments,90000.0,5,4,0,0.0
8757,-2.851862128000701,0.509982272189294,3.361844400189995,mostly from social security,mostly from a paycheck,63781.0,4,5,2,0.0
8758,8.197609854194974,3.4986205245524182,-4.698989329642556,mostly from a paycheck,mostly from investments,50200.0,5,4,0,0.0
8759,13.90217798371662,8.246701646153495,-5.655476337563124,mostly from a paycheck,mostly from investments,105002.0,5,4,0,0.0
8762,8.884835439096317,4.164613020331268,-4.720222418765049,mostly from a paycheck,mostly from investments,60000.0,5,6,1,0.0
8763,9.008853594584311,3.00454107908023,-6.004312515504081,mostly from a paycheck,mostly from investments,59800.0,5,6,0,0.0
8765,-27.07660261731046,-16.81687660132475,10.25972601598571,mostly from a paycheck,mostly from investments,22380.0,4,4,1,0.0
8766,8.408248524965659,7.100119865375852,-1.3081286595898067,mostly from a paycheck,mostly from investments,174375.0,1,1,4,0.43584229390681
8767,15.135550065462374,8.857946233101222,-6.277603832361152,mostly from a paycheck,mostly from investments,120020.0,5,6,0,0.0
8769,-38.11964792110859,-21.246665121044224,16.872982800064364,mostly from a paycheck,mostly from investments,25000.0,4,6,3,0.0
8770,14.080888647902144,9.57308569380892,-4.507802954093224,mostly from a paycheck,mostly from investments,205005.0,1,1,0,0.4634179654154777
8771,2.6010153210632256,1.6541660802102103,-0.9468492408530154,mostly from a paycheck,mostly from investments,124053.0,1,1,4,0.4437861236729462
8772,9.829984428740486,5.400170425744223,-4.429814002996263,mostly from a paycheck,mostly from investments,72080.0,5,4,0,0.0
8773,8.493060848198589,5.808940916721339,-2.68411993147725,mostly from a paycheck,mostly from investments,55001.0,5,4,1,0.0
8774,6.21708502362526,4.715160624231532,-1.5019243993937277,mostly from a paycheck,mostly from investments,100100.0,1,1,1,0.0
8775,10.299861959830583,6.576238713320281,-3.723623246510302,mostly from a paycheck,mostly from investments,137902.0,1,1,0,0.4133370074400661
8776,8.22957956902854,3.6440149962873636,-4.585564572741175,mostly from a paycheck,mostly from investments,50001.0,5,6,0,0.0
8777,9.337755456936165,6.742743404252851,-2.5950120526833143,mostly from a paycheck,mostly from investments,134398.0,1,1,1,0.4256015714519561
8778,16.826145632578505,23.737294542683877,6.911148910105371,mostly from a business,mostly from a paycheck,306048.0,5,6,0,0.0
