unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip,eff_rate,asecwt
27000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,1,5,6,53,5.02962962962963,5106.48
49980.0,0.0,0.0,2.000800320128051e-05,0.0,0.0,0.3757302921168467,0.0,0.0,85,0,0,1,5,4,12,6.403744382097173,2128.95
156352.0,0.18547891936144084,0.0,0.0,0.0,0.0,0.0,0.0,0.8145210806385591,56,2,0,4,1,1,17,10.583850587452892,2949.8
147020.0,0.13603591348115904,0.0,0.0,0.0,0.0,0.2516664399401442,0.0,0.6122976465786968,65,0,0,2,1,1,6,10.824909874885137,4105.32
192081.0,0.4425216445145538,0.0,0.0,0.0,0.0,0.0,0.0,0.5574783554854462,39,2,0,4,1,1,32,11.859059459290611,889.29
30900.0,0.7119741100323624,0.0,0.016181229773462782,0.0,0.0,0.0,0.0,0.0,44,2,0,3,4,6,19,-24.2,1488.35
60000.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.48,64,0,0,2,1,1,42,0.0,4617.63
27436.0,0.0,0.0,0.009367254701851582,0.0,0.21869077124945327,0.7719419740486951,0.0,0.0,80,0,0,1,5,5,36,0.0,4054.32
21893.0,0.8221806056730462,0.0,0.023432147261681815,0.0,0.0,0.0,0.0,0.0,27,1,0,2,4,6,38,-30.222006157835036,383.03
60907.0,0.0,0.0,0.0,0.0,0.0,0.014891555978787331,0.0,0.9851084440212127,72,0,0,2,1,1,30,5.214658307416366,472.06
46350.0,0.9061488673139159,0.0,0.0,0.0,0.0,0.0,0.0,0.09385113268608414,55,0,0,2,1,1,17,3.815924619300674,3911.49
70025.0,0.0,0.0,0.028918243484469832,0.0,0.0,0.34273473759371653,0.0,0.0,68,0,0,1,5,6,34,9.735792246894995,4434.06
272553.0,0.00440281339776117,0.0,0.0,0.0,0.0,0.0,0.0,0.9427634258291048,47,2,0,4,1,1,55,12.677765961348053,1652.23
100062.0,0.5996282304970918,0.0,1.9987607683236393e-05,0.0,0.0,0.0,0.0,0.43033319342007953,63,0,0,2,1,1,12,7.986048649837101,3269.25
38401.0,0.9895575636051145,0.0,0.010442436394885549,0.0,0.0,0.0,0.0,0.0,23,0,0,2,5,6,55,7.0987734694409,4495.59
140000.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,53,0,0,2,1,1,13,10.94357142857143,2344.22
