inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
29262,0.0,0.0,0.11219328822363475,0.0,0.0,0.5597361766113048,0.0,74,0,0,2,5,5,23,0.0,1540.3
33578,0.0,0.0,5.9562808982071595e-05,0.0,0.0,0.588957055214724,0.0,80,0,0,2,5,4,23,0.0,1540.3
21889,0.0,0.0,0.000776645803828407,0.022842523642011968,0.0,0.20887203618255745,0.0,80,0,0,2,5,5,23,0.6467632961829417,1387.61
16900,0.0,0.0,0.018461538461538463,0.047337278106508875,0.22485207100591717,0.7093491124260355,0.0,72,0,0,2,5,4,23,0.0,1387.61
44844,0.0,0.0,0.1337971635001338,0.0,0.0,0.6788868075996789,0.0,85,0,0,1,5,5,23,5.149907223542433,1702.92
40000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,0,0,1,5,4,23,7.295,2474.83
84212,0.8549850377618392,0.0,0.002517455944520971,0.05937396095568328,0.0,0.0,0.0,35,0,0,2,1,1,23,17.711916290977904,1484.7
25605,0.03124389767623511,0.0,0.00019527436047646945,0.0,0.0,0.9685608279632885,0.0,79,0,0,4,3,1,23,-31.775700934579437,764.19
75250,0.9966777408637874,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,60,0,0,2,1,1,23,8.467386203660253,1594.26
92040,0.8148631029986962,0.0,0.0,0.0,0.0,0.18513689700130379,0.0,68,0,0,2,3,1,23,8.098494953221518,1368.63
10001,0.9999000099990001,0.0,9.999000099990002e-05,0.0,0.0,0.0,0.0,64,0,0,2,1,1,23,2.897361606112664,1501.85
277711,0.990238053227996,0.0,0.0025602154758003824,0.0036008656481018035,0.0,0.0,0.0036008656481018035,58,1,0,2,4,5,23,21.607714494564497,951.8
54951,0.0,0.9099015486524358,0.05825189714472894,0.031846554202835255,0.0,0.0,0.0,53,0,0,2,1,1,23,7.643029195209867,1878.53
199512,0.5764064316933317,0.0,0.0015638157103332131,0.01002445968162316,0.0,0.2756726412446369,0.1002445968162316,72,0,0,2,3,1,23,7.565751583797274,1516.31
32100,0.9968847352024922,0.0,0.003115264797507788,0.0,0.0,0.0,0.0,34,0,0,1,5,6,23,6.137071651090343,1906.93
104100,0.0,0.3170028818443804,0.07204610951008646,0.0,0.0,0.2420749279538905,0.0,75,0,0,2,2,1,23,8.257304022979953,1843.9
65601,0.0,0.0,0.15550067834331793,0.060974680264020364,0.0,0.7621835033002545,0.0,74,0,0,2,3,1,23,8.213001842733288,1550.46
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,2,2,4,1,1,23,12.274424082724478,1645.54
352088,0.9940696644020813,0.0,0.0014570221081093362,0.00021301492808616028,0.0,0.0,0.0,50,1,0,3,1,1,23,18.183277536552716,800.56
29629,0.0,0.0,3.3750717202740556e-05,0.0,0.0,0.6354585034931992,0.36450774578959805,69,0,0,1,5,5,23,0.0,1230.72
12465,0.9999197753710389,0.0,8.022462896109105e-05,0.0,0.0,0.0,0.0,43,1,0,2,4,4,23,-44.04332129963899,1374.14
93801,0.0,0.0,1.0660867154934382e-05,0.0,0.0,0.0,0.05330433577467191,49,0,0,1,5,4,23,8.190117608955285,1287.33
85105,0.911814816990776,0.0,0.011808941895305798,0.0,0.0,0.0,0.0,58,0,0,1,5,4,23,12.154443101583867,1912.56
42019,0.9519503081939122,0.0,0.04804969180608772,0.0,0.0,0.0,0.0,56,0,0,2,5,4,23,7.520407434731907,1802.71
70060,0.642306594347702,0.0,0.357693405652298,0.0,0.0,0.0,0.0,58,0,0,2,5,4,23,10.953468455609478,1802.71
72750,0.9896907216494846,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,56,2,0,4,1,1,23,12.26739759403076,1594.26
92062,0.9993265408094545,0.0,0.000673459190545502,0.0,0.0,0.0,0.0,24,0,0,4,5,6,23,13.59301340401034,2694.82
64823,0.7713620165681934,0.0,1.542662326643321e-05,0.0,0.0,0.0,0.0,32,3,1,5,1,1,23,1.1300001113300602,1767.98
24001,0.9999583350693722,0.0,4.1664930627890504e-05,0.0,0.0,0.0,0.0,24,0,0,2,5,6,23,4.228990458730887,888.29
26005,0.9998077292828302,0.0,0.00019227071716977504,0.0,0.0,0.0,0.0,58,0,0,1,5,6,23,4.764468371467025,2066.72
92296,0.36837999479934125,0.0,0.03354424893819884,0.0,0.3640461125075843,0.23402964375487562,0.0,73,0,0,1,5,6,23,12.852587136183974,1686.28
42015,0.9996429846483399,0.0,0.0003570153516601214,0.0,0.0,0.0,0.0,25,0,0,2,5,6,23,7.521123408306557,1980.58
62020,0.999677523379555,0.0,0.0003224766204450177,0.0,0.0,0.0,0.0,27,0,0,2,5,6,23,9.521122218639148,1980.58
28503,0.0,0.0,0.00010525207872855489,0.0,0.0,0.9998947479212714,0.0,80,0,0,2,3,1,23,0.0,1310.28
51379,0.3308744817921719,0.0,0.0,0.0,0.0,0.6691255182078281,0.0,75,0,0,2,3,1,23,0.0,1250.15
60810,0.82223318533136,0.0,0.013320177602368031,0.0,0.0,0.0,0.164446637066272,31,0,0,2,4,6,23,3.5964479526393687,1497.98
199453,0.9124956756729655,0.0,0.029340245571638432,5.013712503697613e-06,0.0,0.0,0.0,32,0,0,2,5,6,23,18.57263952311941,1497.98
48000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,1,0,2,4,4,23,1.9791666666666663,1035.75
46000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1,0,2,4,6,23,4.610869565217391,801.25
75001,0.999986666844442,0.0,1.3333155557925894e-05,0.0,0.0,0.0,0.0,48,0,0,1,5,2,23,7.7185637524833,1121.65
36060,0.9445091514143095,0.0,0.05549084858569052,0.0,0.0,0.0,0.0,44,0,0,1,5,6,23,6.780366056572379,1572.1
67006,0.0,0.9999104557800794,8.954421992060413e-05,0.0,0.0,0.0,0.0,36,2,0,4,1,1,23,-1.99675823715172,1945.33
88221,0.0,0.0,0.016039265027601137,6.801101778488115e-05,0.0,0.0,0.0,69,0,0,1,5,6,23,13.705826656214048,1516.31
77566,0.0,0.0,0.015483588170074516,0.00986256865121316,0.29394322254596084,0.3094139184694325,0.0,85,0,0,1,5,6,23,10.913122245355977,1250.15
40842,1.2242299593555654,0.0,0.02059154791636061,0.0,0.0,0.0,-0.24482150727192595,29,0,0,2,1,1,23,7.344646744508212,1980.58
35276,0.0,0.0,0.07370450164417734,0.08504365574328156,0.0,0.0,0.0,72,0,0,1,5,4,23,5.014740900328835,1410.67
22350,0.24608501118568232,0.0,0.0022371364653243847,0.0,0.0,0.7516778523489933,0.0,54,0,0,1,5,4,23,-7.585585585585585,1401.02
46182,0.19704646832099088,0.0,4.330691611450349e-05,0.0,0.0,0.571651292711446,0.0,80,0,0,2,5,5,23,3.394607327640601,1733.78
73702,0.0,0.0,2.7136305663346992e-05,0.0,0.0,0.4070445849502049,0.0,75,0,0,2,5,4,23,10.874195645837537,1733.78
40404,0.0,0.0,0.0,0.0,0.0,0.405999405999406,0.0,78,0,0,2,3,1,23,0.0,1385.56
85255,0.9970089730807578,0.0,0.0029910269192422734,0.0,0.0,0.0,0.0,57,0,0,1,5,4,23,12.2139463961058,2090.68
58423,0.0,0.0,0.026924327747633637,0.004279136641391233,0.02738647450490389,0.9414100611060713,0.0,69,0,0,1,5,5,23,0.0,1344.27
