unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip
88806.0,0.0,0.0,2.252100083327703e-05,0.0,0.0,0.3243024119991892,0.0,0.6756750669999775,70,0,0,2,1,1,39
164016.0,0.3658179689786362,0.0,0.0609879523948883,3.0484830748219685e-05,0.0,0.0,0.0,0.5731635937957272,31,1,1,4,1,1,48
140000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,2,1,4,1,1,6
115144.0,0.3908149795039255,0.0,8.684777322309456e-06,0.0,0.0,0.0,0.0,0.6091763357187522,65,0,0,2,1,1,19
107000.0,0.514018691588785,0.0,0.0,0.0,0.0,0.0,0.0,0.4859813084112149,41,1,0,3,1,1,50
46000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0,1,5,6,11
35000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1,0,3,5,4,16
39879.0,0.0,0.0,0.002507585445974,0.0,0.0,0.1699892173825823,0.0,0.0,63,1,0,3,1,1,12
70260.0,0.0,0.0,0.0018502704241389,0.0,0.0,0.0,0.0,0.9981497295758612,56,0,0,2,1,1,45
22000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1,5,6,2
15428.0,0.0,0.0,0.8686155042779362,0.0,0.0,0.1313844957220638,0.0,0.0,79,1,0,2,5,5,42
29002.0,0.9999310392386732,0.0,6.896076132680504e-05,0.0,0.0,0.0,0.0,0.0,26,0,0,3,5,6,6
4972.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,1,5,6,51
16000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1,0,4,4,6,18
58008.0,0.9998620879878636,0.0,0.0001379120121362,0.0,0.0,0.0,0.0,0.0,29,0,0,5,5,6,6
87602.0,0.178078126070181,0.0,2.2830528983356545e-05,0.0,0.0,0.0,0.0,0.8218990434008356,49,2,0,4,1,1,48
46204.0,0.9306553545147608,0.0,0.0023807462557354,0.0,0.0,0.0,0.0,0.0,48,2,0,4,4,4,24
23650.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,2,5,6,20
41679.0,0.0,0.0,0.3399793661076321,0.0,0.0,0.0,0.0,0.6600206338923679,64,0,0,2,1,1,34
165000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,3,0,5,4,6,18
142000.0,0.0,0.528169014084507,0.0,0.0,0.0,0.0,0.0,0.4718309859154929,41,0,0,2,1,1,22
58000.0,0.4827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,38,2,0,4,1,1,24
87910.0,0.0,0.0,2.2750540325332725e-05,0.0170629052439995,0.0,0.3480832669775907,0.0,0.3618245933340916,75,0,0,2,1,1,53
33000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,1,5,6,13
256800.0,0.973520249221184,0.0,0.0233644859813084,0.0031152647975077,0.0,0.0,0.0,0.0,32,0,0,2,5,6,31
27001.0,0.9999629643346544,0.0,3.7035665345727935e-05,0.0,0.0,0.0,0.0,0.0,53,0,0,1,5,4,48
366001.0,0.956281540214371,0.0,2.73223297204106e-06,0.0437157275526569,0.0,0.0,0.0,0.0,38,0,0,1,5,6,6
352039.0,0.4601762872863518,0.0,0.056860177423524,0.0,0.0,0.0,0.0,0.4829635352901241,36,1,1,3,1,1,48
298191.0,0.410475165246436,3.3535552716212093e-06,0.0110734395068932,0.0001173744345067,0.0,0.0,0.0,0.5783273137016208,61,0,0,2,1,1,17
60000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,39,4,0,6,1,1,6
100781.0,0.0,0.0,0.0248161855905378,0.0,0.1954733531121937,0.2339726734205852,0.0,0.5457377878766831,72,0,0,2,1,1,48
28000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0,1,5,6,50
313026.0,0.6389245621769438,0.0,0.0416099621117734,0.0,0.0,0.0,3.194622810884719e-06,0.3194622810884719,54,0,0,2,1,1,15
98627.0,0.2129234388149289,0.0,0.0001825058046985,0.0,0.0,0.1494114187798473,0.0,0.6249911281900494,73,0,0,2,1,1,19
30000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,3,5,6,34
351590.0,0.9954776870786995,0.0,0.001564322079695,0.0017065331778491,0.0,0.0,0.0,0.001251457663756,61,1,0,3,1,1,12
23443.0,0.0,0.0,0.0,0.0,0.0,0.1468668685748411,0.0,0.8531331314251589,54,1,0,5,1,1,45
39305.0,0.9922401730059788,0.0,0.0052156214222109,0.0025442055718102,0.0,0.0,0.0,0.0,64,0,0,1,5,5,20
11270.0,0.9760425909494232,0.0,0.0239574090505767,0.0,0.0,0.0,0.0,0.0,22,0,0,2,5,6,36
98688.0,0.0,0.0,0.6915734435797666,0.0,0.0,0.1823929961089494,0.0,0.126033560311284,69,0,0,2,1,1,19
70000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0,2,1,1,48
25680.0,0.9929906542056076,3.8940809968847354e-05,0.0068535825545171,7.788161993769471e-05,0.0,0.0,0.0,0.0,48,0,0,1,5,6,6
387741.0,0.203659143603591,0.0,0.0077397025333921,0.0,0.0,0.0,0.0,0.7886011538630168,30,0,0,2,1,1,27
50020.0,0.9996001599360256,0.0,0.0003998400639744,0.0,0.0,0.0,0.0,0.0,38,2,1,4,5,6,54
65042.0,0.9993542633990344,0.0,0.0006457366009655,0.0,0.0,0.0,0.0,0.0,23,0,0,5,5,6,23
22003.0,0.9999545516520476,0.0,4.5448347952551926e-05,0.0,0.0,0.0,0.0,0.0,47,0,0,6,5,4,48
120000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,5,5,6,37
63000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,4,0,6,5,4,53
24010.0,0.9995835068721366,0.0,0.0004164931278633,0.0,0.0,0.0,0.0,0.0,22,0,0,11,5,6,50
75015.0,0.9998000399920016,0.0,0.0001999600079984,0.0,0.0,0.0,0.0,0.0,24,0,0,2,5,6,17
80002.0,0.4374890627734306,0.0,1.2499687507812304e-05,0.0,0.0,0.0,0.0,0.5624984375390615,25,1,1,3,1,1,22
15000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,2,5,3,53
110241.0,0.6168303988534212,0.0,0.0185049119656026,0.0,0.0,0.0,0.0,0.3646646891809762,33,2,0,5,1,1,48
